id,category,requiredProviders,expectedMode,predictedMode,modeMatch,declaredRouterCategory,predictedRouterCategory,routerCategoryMatch,providersAvailable,rankingChecked,rankingPass,liveMeasured
exact-01,exact-id,linear,fast,fast,true,exact_identifier,exact_identifier,true,false,false,not applicable,false
exact-02,exact-id,linear,fast,fast,true,exact_identifier,exact_identifier,true,false,false,not applicable,false
exact-03,exact-id,linear,fast,fast,true,exact_identifier,exact_identifier,true,false,false,not applicable,false
actor-01,actor,linear,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
actor-02,actor,document,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
actor-03,actor,document,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
thread-01,thread,slack,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
thread-02,thread,gmail,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
temporal-01,temporal,slack linear,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
temporal-02,temporal,slack document,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
temporal-03,temporal,slack linear,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
meta-01,metadata,linear,fast,fast,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
meta-02,metadata,linear,fast,fast,true,exact_identifier,exact_identifier,true,false,false,not applicable,false
meta-03,metadata,linear,fast,fast,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
dedup-01,entity-dedup,slack gmail linear,thinking,thinking,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
dedup-02,entity-dedup,linear,thinking,thinking,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
update-01,knowledge-update,linear slack,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
update-02,knowledge-update,linear slack,thinking,thinking,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
attr-01,attribution,gmail linear,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
attr-02,attribution,slack,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
attr-03,attribution,gmail,thinking,thinking,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
lang-01,multilingual,linear,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
lang-02,multilingual,slack linear,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
lang-03,multilingual,slack,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
hop-01,multi-hop,linear slack,thinking,thinking,true,exact_identifier,exact_identifier,true,false,false,not applicable,false
hop-02,multi-hop,gmail linear slack,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
conflict-01,conflict,slack gmail,thinking,thinking,true,conflict_analysis,conflict_analysis,true,false,false,not applicable,false
conflict-02,conflict,document gmail,thinking,thinking,true,conflict_analysis,conflict_analysis,true,false,false,not applicable,false
prio-01,priority,linear slack,thinking,thinking,true,counterfactual,counterfactual,true,false,true,true,false
prio-02,priority,linear slack gmail,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,true,true,false
prio-03,priority,linear gmail document,thinking,thinking,true,single_source_fact,single_source_fact,true,false,true,true,false
cf-01,counterfactual,linear gmail,thinking,thinking,true,counterfactual,counterfactual,true,false,false,not applicable,false
cf-02,counterfactual,linear,thinking,thinking,true,counterfactual,counterfactual,true,false,false,not applicable,false
adv-01,adversarial,document,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
adv-02,adversarial,slack,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
adv-03,adversarial,linear,fast,fast,true,exact_identifier,exact_identifier,true,false,false,not applicable,false
pdf-01,large-pdf,document,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
pdf-02,large-pdf,document,fast,fast,true,single_source_fact,single_source_fact,true,false,false,not applicable,false
pdf-03,large-pdf,document gmail,thinking,thinking,true,cross_source_fact,cross_source_fact,true,false,false,not applicable,false
temporal-04,temporal,github,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
temporal-05,temporal,linear,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
recency-vs-relevance-01,temporal,slack linear,thinking,thinking,true,temporal_reasoning,temporal_reasoning,true,false,false,not applicable,false
